Author,Comment,Likes,Timestamp
@grannydj4464,"So when every step of this is done in a factory, do they just reheat it in the restaurant when you order it? It isn’t actually cooked fresh?",2,2025-03-07T19:37:11Z
@VISHALGOLDJEWLLERY09,Kfc halal or not,1,2025-03-04T05:57:44Z
@Jennifer_Layne,Seeing as I just finished having KFC for dinner I completely screwed up by clicking on this video.  I am so nauseous right now.,2,2025-03-04T05:48:22Z
@yasinbutt6064,Where are my Indian friends😂,1,2025-03-03T12:41:18Z
@spiritualsocratesthegreat,POLLOS HERMANOS,1,2025-03-03T02:54:25Z
@RealmySweety,Where to buy an original hobbit ring?,2,2025-03-01T22:25:01Z
@iamgo4346,heaven of protein,2,2025-03-01T16:46:15Z
@sultanattari5560,i dont haram or halal,1,2025-03-01T10:55:13Z
@xman870096,"KFC is tasty chicken, too bad they are using smaller chickens and charging more for the final product... I used love buying KFC it&#39;s just not a good value anymore.....",2,2025-03-01T04:24:17Z
@NaserAlanzi-he9sq,قريبا تم _ افتتاح شعار مطعم كودو Kudu ازرق السعوديه 99٩٩,1,2025-02-27T23:58:21Z
@NaserAlanzi-he9sq,قريبا تم _ الافتتاح شعار مطعم كودو Kudu ازرق السعوديه 99٩٩,1,2025-02-27T23:56:25Z
@NaserAlanzi-he9sq,قريبا تم _ افتتاح شعار مطعم هرفي Herfy ازرق السعوديه 99٩٩,1,2025-02-27T23:54:46Z
@NaserAlanzi-he9sq,قريبا تم _ الافتتاح شعار مطعم هرفي Herfy ازرق السعوديه 99٩٩,1,2025-02-27T23:53:01Z
@SalimathY,😊A.YY   &amp;   ST    🙏🏾,1,2025-02-27T20:30:44Z
@InsideSmartFactory,The video is amazing! It&#39;s interesting to see how KFC combines modern technology with traditional flavors. But is there a secret step in the process that keeps the chicken crispy and flavorful?,2,2025-02-26T15:54:19Z
@InsideSmartFactory,yummy,1,2025-02-26T15:52:11Z
@bhikarimeher9217,It realize u r living in Kalyug,1,2025-02-26T10:01:27Z
@Asfan-w8x,It means CHICKEN RUN was Real😅,4,2025-02-25T21:18:33Z
@Vn189-o7f,Toàn đồ công nghiệp.không tốt cho sức khoẻ.,1,2025-02-25T10:39:02Z
@snoopcow,KFC quality has gone down hill. Raising Cane&#39;s chicken is 3X better.,1,2025-02-23T22:29:26Z
@worldnature649,I misss my kfc😢😢😢,1,2025-02-22T06:23:20Z
@nayarmurali2070,Very good <br>I thought at last will get  <br>a piece.😊,4,2025-02-21T16:42:00Z
@jamedlock83,"Kentucky Fried Chicken&#39;s secret recipe includes a blend of herbs and spices, along with flour and oil. <br>Seasoning <br><br>    Red chili powder<br>    Black pepper<br>    Mixed herbs, such as oregano, basil, and thyme<br>    Salt<br>    Garlic powder or crushed garlic<br>    Onion powder<br>    Allspice or garam masala<br>    Celery salt<br>    Dried mustard<br>    Paprika",1,2025-02-19T01:20:04Z
@jamedlock83,&quot;to remove the fedders&quot;  lmao,1,2025-02-19T01:13:29Z
@Footballshow1000,KFC❌CP,1,2025-02-18T23:58:08Z
@جنجالی,KFC is not iconic. It&#39;s garbage food and unhealthy <br>Doesn&#39;t matter how you advertise and deceive people,1,2025-02-18T11:40:03Z
@werewolflover8636,I’m not sure where this is but KFC in the United States doesn’t use factory prepared chicken! All of their chicken comes in raw and is breaded by hand and fried on site.,2,2025-02-15T03:41:34Z
@ExploreTheProcess-k6k,"<a href=""https://www.youtube.com/watch?v=dE6qnfNvNl4&amp;t=518"">8:38</a> I&#39;m really curious about what they do with the remaining chicken bones after all the meat has been removed.",2,2025-02-14T09:29:57Z
@NakiyembaAmina-b4i,Misreab voice 😮😅,1,2025-02-11T14:24:49Z
@environment7991,I love KFC from Bangladesh 🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩♥️♥️♥️♥️♥️<br>11-02&amp;2025,6,2025-02-11T08:27:00Z
@LanLê-v9t,Kinh khủng quá! Xem xong hết dám ăn gà!,1,2025-02-10T15:11:29Z
@Shahid_khan_373,Haram,1,2025-02-10T10:05:29Z
@adelinalopez-yt6vq,I Love eat chicken fried KFC  🍗,3,2025-02-06T04:29:13Z
@SuburMakmur-h5u,Freciken,1,2025-02-06T04:03:02Z
@mohamedfalouh2002,Merci. Thank you. KFC. Faire Google.. KFC de falouh de mohamed falouh,1,2025-02-05T15:51:22Z
@theamazongadgets285,Unbelievable chicken making,3,2025-02-05T13:58:29Z
@Azief2009,This is not how KFC is prepared btw. i work at KFC.,2,2025-02-02T10:06:47Z
@ViVo-ip7tl,I hate kfc🤮🤮🤮,1,2025-02-01T12:04:04Z
@saifulislam-hn8ld,Is it halal..??🙄🙄,2,2025-02-01T08:39:28Z
@bdjobsandjobsexampractice,Not halal for Muslim,1,2025-01-30T14:53:21Z
@KusniatiNia-u2l,Hello 👋,1,2025-01-30T03:38:13Z
@ROBERT-l9m,TRÈS BON NOURRITURE,1,2025-01-29T00:22:27Z
@WahyuAja-b9p,Disembelih bace doa tak tu?,1,2025-01-25T03:09:35Z
@RafidHossain-cf8so,Annoying voice,1,2025-01-24T08:15:57Z
@pratham4610,"नरक मे आपका एसेही इंतजाम करके  रखा होगा,",1,2025-01-24T06:24:25Z
@atpnongnghiepviet,The production line is amazing,2,2025-01-23T06:16:25Z
@hildadesriza3091,Wowwww,1,2025-01-22T23:38:24Z
@Howoldareweanywayyipes,I bought a bucket of KFC recently and it was terrible...   had to throw it all away...   never again.   Popeye&#39;s is the best now days.,1,2025-01-22T20:55:51Z
@libertyone5853,Imagine the engineering and manufacturing of ALL the equipment that goes into mass production lines!,11,2025-01-22T04:37:33Z
@Unuthryear,Well its not sure as shit made as pictured in the stupid thumbnail,1,2025-01-20T15:05:44Z
@ankitthombre5382,Please it&#39;s a humble request to meat industry don&#39;t kill innocent animals and it&#39;s a sincere request to the central government of India please abolished meat industry from India,2,2025-01-20T14:46:57Z
@EngineGears,"I am very impressed by the accuracy and efficiency in the steps of the manufacturing process, the video is so attractive",15,2025-01-19T17:54:38Z
@truthsslaves113,Unhealthy food,1,2025-01-19T15:40:54Z
@Islam4ourlife,Is that halal,1,2025-01-19T15:18:17Z
@kensomers4570,Mmmm !! Pizza,3,2025-01-19T09:10:41Z
@kensomers4570,Mmmm !! Chicken 🐔🐔🦘🦘🦘🦘,4,2025-01-19T08:59:48Z
@TheCuriousCreator-y3r,Love KFC!,2,2025-01-17T02:07:16Z
@linziolamiach1120,KFC | Lin Ziola,1,2025-01-16T18:56:19Z
@anoopthomas5352,"<a href=""https://www.youtube.com/shorts/_OAdw4xnetw"">https://youtube.com/shorts/_OAdw4xnetw?si=o2bOjXBRdXWm-ZZL</a>",1,2025-01-16T15:56:32Z
@PrithwishRoychowdhury,This video is classic Nightmare for Vegans. And I so love it...,2,2025-01-15T16:43:36Z
@shahidbhat2226,Haram,1,2025-01-15T14:18:10Z
@VeshandieFelices,Wow I love this foods all so very Yummy Yummy😍😋❤️,4,2025-01-14T15:48:11Z
@CosmosChill7649,Frying chicken in pressure cooker?,1,2025-01-14T11:38:12Z
@royalroyal1284,Muslims should boycott kfc chicken because its not halal,1,2025-01-14T11:04:41Z
@ARGIEMONTEROLAz,😋,2,2025-01-14T10:33:09Z
@dumak4055,Ban kfc,1,2025-01-14T08:21:02Z
@rehanabibi4911,Hi feed chickens chapptee flour’s cooked chapptee and vegetables…. After chack when chicken’s grow baby to chicken s chack whts is chicken’s tast in cooking time….,1,2025-01-14T03:00:07Z
@BehindMachines,"KFC’s fried chicken is so iconic it takes a secret recipe, precision machinery, and pressure fryers to make it happen. Meanwhile, I still can’t cook chicken without setting off my smoke alarm. 🍗🔥 Who else feels attacked by their own cooking skills? 😂",2,2025-01-14T02:14:45Z
@michaelceasar,Thanks❤,2,2025-01-13T14:52:37Z
@yeonsharien,I hope all the chicken processed according to halal way. 😥😥,3,2025-01-13T13:44:30Z
@Tennpenny67,❤,1,2025-01-13T08:39:18Z
@Mobilankerenloh,Kerenyahan nya sepanjang masa ❤,2,2025-01-12T01:04:13Z
@ikhwanmasud,Not Halal,2,2025-01-11T15:17:40Z
@ganesh.bommidala3427,"Yumm 😋, i wish I work there",4,2025-01-11T13:58:29Z
@lynncai891,Is it Halal?,2,2025-01-11T12:52:24Z
@samuelfajuyigbe9637,"This is making me hungry, and made me remember that I am really broke 😞😭😭",9,2025-01-09T16:40:09Z
@xavier_mfalme,Who came up with this idea of the above machine?,1,2025-01-09T10:09:01Z
@moonlight-s7o,I have really enjoyed KFC fried chicken; its taste is unique,2,2025-01-09T01:59:28Z
@CarilynaGother,"It’s really cool to see how KFC gets that iconic crunch every time , but I still have some concerns about whether the process is sustainable and if the animals are treated humanely before they reach the factory",3,2025-01-09T01:53:12Z
@Blakeourtney,"I appreciate the insight into how KFC keeps their chicken so consistent and crispy , but it would be nice to know if they have any initiatives to reduce food waste in such a large production process.",5,2025-01-09T01:52:36Z
@GanadTrynor,"The factory looks super high-tech and efficient, which is impressive, but I hope they’re also paying attention to food safety and ethical sourcing behind the scenes...",3,2025-01-09T01:52:34Z
@AndriasSwainger,"The way they bread and fry the chicken is so satisfying to watch because it looks perfectly crispy every time, but I’m wondering if all of this mass production affects the nutritional value.",17,2025-01-09T01:52:32Z
@PeteChesterfie,"Seeing how KFC’s fried chicken is made explains why it tastes so good every time , but it also makes me think about the environmental impact of such a massive production process...",4,2025-01-09T01:52:30Z
@YasminaPaffe,"Watching the whole process is really impressive because it shows how much work goes into making the food we love, but I also wish they addressed where the chickens come from and how they’re raised...",36,2025-01-09T01:52:29Z
@MarleesMcParland,"I love learning about how KFC’s secret recipe is applied to every piece of chicken, but I’m curious if the seasoning is all natural or if they use artificial flavors to keep it consistent.",0,2025-01-09T01:52:25Z
@AmelinaBirtchnel,"It’s crazy how much effort and technology goes into making something as simple as fried chicken, but I also feel like it’s important to ask if the workers in these factories are treated well...",6,2025-01-09T01:52:25Z
@GaultierosHuett,"The process looks very clean and professional, which makes me feel better about eating fast food, but I still wonder if they can make the production process more environmentally friendly...",2,2025-01-09T01:52:22Z
@AldousShimin,"Seeing the whole process of making crispy fried chicken is really interesting, and I have to give them credit for their technique, but I do wish they showed more transparency about the welfare of the animals they use.",1,2025-01-09T01:52:20Z
@GabrieAndreutti,"It’s amazing to see how consistent and efficient KFC’s production line is , but I do feel a bit uneasy about how industrialized it all looks—does that impact the taste or quality in any way?",1,2025-01-09T01:52:14Z
@gaiadruid,I don&#39;t want to work there,1,2025-01-08T12:15:06Z
@BedroomTrader-h8b,Peta is going to get heart attack by watching this,2,2025-01-08T12:09:49Z
@felicitydeikos5250,"Please dont eat KFC, <br>Many cute little chicks are born to be slaughtered.",1,2025-01-08T09:18:25Z
@wm2687,"Looks like Malaysia&#39;s KFC by looking at the chicken, the cup drinks, the colonel rice and the best thing CHEESY WEDGES",4,2025-01-08T08:32:46Z
@hussainabbas6530,Bizarre voice!,1,2025-01-07T20:34:47Z
@MohammedFaisalZamann,"Aur Jako poocho chicken halal hai kya karko.,",1,2025-01-07T07:50:49Z
@manavpatel7656,God never goona forgive you. 😢,1,2025-01-06T16:22:59Z
@abhishekpandey21790,How  to be ethically unethical,1,2025-01-06T14:47:02Z
@Batken-sb4el,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,3,2025-01-06T10:47:16Z
@decoder258,"sending this a to a vegan,and yes,i know its wrong,but they also shout at us when we eat meat",1,2025-01-05T17:07:39Z
@poconos66,KFC is whats for dinner tonight in my house...mmmm mmmmm mmmmm,2,2025-01-05T16:47:33Z
@lakpatsheringtamang2573,They left out the part wher the internals of the chicken are used again to feed the chicken 💀,1,2025-01-05T15:19:10Z
@muhammadismaeeljaumeer7755,And I thought the video would tell us all of the secret ingredients (herbs and spices)!!!!!!!,1,2025-01-05T11:40:28Z
@yurojuan,But your quality now KFC has dipped big time.,1,2025-01-05T09:23:33Z
@sarcazt07,AL-BAIK IS THE BEST PERIOD.🇸🇦❤️,13,2025-01-04T09:05:51Z
@rollshlychalrollkartehai195,Animal welfare 😂,2,2025-01-04T02:48:46Z
@amogus9287,Wow now that is a chicken farm!,4,2025-01-03T11:57:17Z
@liamichael7673,How disgusting is this video by killing innocent animal. This should be reported.,1,2025-01-03T10:33:15Z
@mjayson30,Jollibee chicken more flavorful,1,2025-01-03T03:20:28Z
@TANGO41388,ཨོཾ་མ་ཎི་པ་དྨེ་ཧཱུྃ།,1,2025-01-02T14:24:14Z
@Shivam-k6y,Beauty of background music and the way of narration,8,2025-01-02T09:18:01Z
@Shizukagmgyt,Bodies everywhere,2,2025-01-02T06:05:51Z
@YouToo-y4i,Incredible story 👏🏻,5,2025-01-01T22:17:18Z
@JackHuang-on2ce,Why KFC only serving white chicken? There are many other species.... But then the white chicken memang popular all around the world. Everyone seems to prefer white chicken more than any other species.,1,2025-01-01T15:26:52Z
@gerardy7500,Chicken life is short and miserable.,1,2025-01-01T13:27:16Z
@BorneoCrocodile,PETA secretly love eating KFC,2,2025-01-01T11:21:21Z
@ramakrishnanramki9115,Thats what you call a KILLING MACHINEEE!,1,2025-01-01T08:11:03Z
@kietkim8258,"Khôngg, đồng loại của toi!!!",1,2025-01-01T07:49:00Z
@senadkurbegovic8083,It&#39;s chicken organic 😀🤣,1,2025-01-01T03:46:19Z
@osamaashfaq6926,Wow I came to know this chicken will  be haram to us.. Muslims because no machine recites bismilah... Every time it slaughtering chicken.,1,2024-12-31T12:30:06Z
@Ki_1998-,Apart from food these machine were absolutely fascinating...human were genius of art.,8,2024-12-31T12:27:45Z
@stlabido11,Real chicken at least,1,2024-12-31T12:12:09Z
@adityadvd,Imagine if they were humans 😢,1,2024-12-31T11:58:23Z
@mrkordon804,KFC is a shit company in Sri Lanka,1,2024-12-31T11:35:40Z
@bayyuwidodo1450,"Aku jadi teringat film kartun masa kecil ku dulu, chiken run. 😂😂",3,2024-12-31T10:40:35Z
@RenéNijhuis-v2w,You are probably a very happy person if you are an employee at this factory. Earning a whole lot of money every month!,4,2024-12-31T08:58:58Z
@NEWLORD989,"The efficiency here is mind-blowing, but I can’t help but think about the environmental impact of such large-scale production, does anyone know if they’re addressing sustainability!!!",3,2024-12-31T08:53:52Z
@Nitingurjar-v,"This video makes me crave fried chicken, but it also makes me wonder if factory-made food is really the best option for flavor and nutrition, is it worth it...",3,2024-12-31T08:52:46Z
@KINGOFLIFE9809,"The technology is impressive, but I wonder how much of the “secret recipe” magic is lost when everything is done in a factory, is it still the same taste we all grew up with!!!",1,2024-12-31T08:52:39Z
@naseeraashraf9207,"Watching this process is like seeing a well-oiled machine, but I wonder if it’s still as satisfying as when it’s made fresh in smaller batches, what do you think...",2,2024-12-31T08:52:35Z
@ZahoorAhmad-e9e,"The scale of production is so impressive, but I can’t help thinking about the quality of life for the chickens, is it humane or just another factory setup...",3,2024-12-31T08:52:27Z
@fawwazhisyam2007,"As a chicken, I still can&#39;t believe what I just watched",69,2024-12-31T08:33:27Z
@BA.N.H,"I still wouldn&#39;t eat it. It&#39;s unhealthy, that&#39;s it !!!",0,2024-12-30T21:52:53Z
@YK_data,"That thumbnail. When I see it, I block the channel immediately 🚫",0,2024-12-30T16:31:08Z
@GeorgePetrou-vz4gy,Disgusting!,0,2024-12-30T14:51:52Z
@IsmailAlii,Giving cancer since its no longer natural now,0,2024-12-30T13:27:34Z
@RakeshBiswas-q6k,A HORROR MOVIE FOR VEGANS,0,2024-12-30T13:24:47Z
